game_name,content,score,at
Arknights,"strategi-nya kerasa banget! level pemula aja ngga dikasih nafas, harus paham banget sama role, medan, dan karakter musuh. Story-nya langsung ke konflik jadi bikin menarik, cuma tampilan yang agak kurang, apalagi buat logo/ikon item yang kurang kerasa kontrasnya bikin sulit buat bedain item ini buat apa atau yang lainnya. Jadi, game-nya lumayan baguslah...",4,2025-11-08 22:34:10
Arknights,Aku Suka Game Buatan Yostar,5,2025-11-07 06:41:04
Arknights,untuk penyajian alur cerita dalam gamenya kalau bisa tolong tambahkan voice line saat dialog karakter agar pemain tidak terlalu bosan akan keheningan saat membaca alur cerita game,4,2025-11-05 12:41:41
Arknights,game baik 👌,5,2025-11-03 22:10:50
Arknights,"game nya bagus dari desain character dan gameplay juga udh bagus semua tinggal bahasa nya tambahkan bahasa Indonesia soalnya gak terlalu bisa bahasa inggris jdi gak terlalu paham main story arknight nya jadi ""TOLONG TAMBAHKAN BAHASA INDONESIA"" / ""PLEASE ADD INDONESIAN LANGUAGE""",5,2025-11-03 12:11:00
Arknights,"game ny bagus di bagian story, latar, dan gameplay nya, dan juga game ini ringan (bagi aku) dan kalo bisa tambahin terjemahan bahasa Indonesia y hehe. dan banyak yang aku ngerti dan ada yang g ngerti, meski begitu, game ini sudah sangat bagus👍",5,2025-11-02 10:13:15
Arknights,Arknights semakin bagus sumpah! Banyak fitur yang membantu mempercepat progres bermain. Pokoknya bagus hahaha 💪🤙,5,2025-11-01 08:56:54
Arknights,game bagus. awal nya sih weh cukup bosenin. sanity aja ga pernah abis 🗿 tapi abis liat guide nya di YouTube 🤤 ajib sanity habis cepet dan haha 😃 rame juga kalau udah over power 😃 semangat terus nih update nya oh ya cerita nya juga keren ini asli yang bikin gua semangat terus nungguin update nya 🗿,5,2025-10-31 19:58:24
Arknights,"game yang debest yg pernah gw mainin, story chara cakep semua, my fav is SilverAsh 😇",5,2025-10-31 18:36:23
Arknights,by : Itafa Terima kasih telah menciptakan karakter seperti Exusiai,5,2025-10-31 17:48:11
Arknights,"sebagai player old 6 tahun bermain ini game sangat puas aku mainin dari segi grafik, cerita, dan benner limited ya bagus sekali apalagi ada anime nya juga yang udh rilis. jadi mudah mengerti alur nya bagi player baru, tapi saran aku aja untuk developer arknights untuk menambah bahasa Indonesia. bagi aku opsonal tapi aku berharap update kedepannya bahasa Indonesia bisa di rilis di game ini agar player seperti saya yang suka alur cerita seperti arknights ini bisa memudahkan untuk mengerti 😇😇",5,2025-10-28 23:36:19
Arknights,"Mau comeback, malah tbtb ngulang dari tutorial, padahal login nya udah pake cara kode verifikasi kirim via email seperti biasa, gak jelas akun jadi ilang gini...",1,2025-10-28 21:56:54
Arknights,Hypergryph anjeng,1,2025-10-27 18:21:19
Arknights,"200 pull tabungan abis plus gesek tetep gak pulang exunya, 😔😔😔",5,2025-10-27 17:03:22
Arknights,"yo star taik ini akun gua gk di loginin beberapa bulan kok langsung ilang ya sayang bet udah level 100 lebih tolong balikin lah,",1,2025-10-26 00:58:33
Arknights,"Gak normal gua gacha di banned exu alter udah 150 pull cuma daper char standar gaada lemuen sekalipun atau pun exu nya, ganormal ganormal",1,2025-10-24 18:46:23
Arknights,setelah 6 tahun lebih bermain hanya bisa berkata bagus sesuai dengan selera saya,5,2025-10-23 22:36:32
Arknights,Game nya sudah sangat bagus tetapi kenapa pas mau di download in game tertulis 7Gb+ tapi pas coba in game download malah 10Gb ke atas. Tolong di jelaskan,1,2025-10-23 18:51:51
Arknights,"game adek lu kikir kalau masih gak didengarkan keluhan pemain jadi ku boom aja kakaknya, sampah steller sora game kikir 🤣",1,2025-10-23 18:48:23
Arknights,aku suka ini gamenya menantang bet,5,2025-10-23 18:38:57
Arknights,Gim yang membangkitkan selera makan,5,2025-10-22 14:58:11
Arknights,game kurang enak dimainkan di perfoma HP mid high karena HP cepat panas dan juga lelet di lobby mending perbaiki game yang lelet,1,2025-10-20 11:36:01
Arknights,"bagus game ny, lumayan buat ngasah otak, pokoknya nya recommended banget dah kata gw.",5,2025-10-20 09:58:54
Arknights,Tolong kasih saya keberuntungan. Main lagi setelah 2 tahun lebih rehat susah karena karakter udah ketinggalan banyak ~ Miyazori,5,2025-10-19 18:53:30
Arknights,"Rarity nya tolong di tingkatin lagi yah... ada makhluk yang sudah gacha ±130x dan beliau tidak mendapatkan apapun kecuali Logos potent 1 ( makhluk tersebut sudah mempunyai Logos sebelum banner limit ), saya sebagai player arknight berharap bahwa chance mendapatkan karakter nya tolong ditingkatkan lagi meskipun itu hanya 1 % ☺️",1,2025-10-19 17:56:50
Arknights,ku kasih bintang empat kalok bagus nanti ku buat bintang 5 dan ku kasih alasannya kenapa,4,2025-10-19 15:43:40
Arknights,wahhh bagus banget game nya sayangnya device ku sudah tidak kuat,5,2025-10-19 02:01:53
Arknights,kembalikan yato alter,2,2025-10-18 22:35:14
Arknights,Overall Very good. Saat download data game tolong animasinya jangan auto play. pengen download data sambil jalankan aplikasi lain malah jadi makin berat karena animasinya,5,2025-10-18 18:15:56
Arknights,aku baru instal dan belum download data tambahan tapi disuruh update client lagi dengan ukuran yang sama. kenapa gak sekalian aja pasang client versi terbaru?! ngabis ngabisin kuota saja,1,2025-10-17 22:00:53
Arknights,Bagus Gw Suka Ama Gameplaynya Semoga Jangan Terlalu Pelit Aja,5,2025-10-16 21:51:02
Arknights,game turu,5,2025-10-15 18:43:30
Arknights,Game paling awet di HP sejak 2020,5,2025-10-15 18:06:53
Arknights,Gamenya overall bagus ramah f2p juga dan event² nya banyak yg menarik terus ya tingkatin lagi gamenya itu aja sih,5,2025-10-15 15:38:00
Arknights,gachany nyasar dx sesuai ekspetasi 🗿,3,2025-10-15 05:31:03
Arknights,game favorit dari awal rilis sampai sekarang,5,2025-10-15 00:03:22
Arknights,Masih setia dengan Arknight,5,2025-10-14 23:27:37
Arknights,terbaik sepanjang masa,5,2025-10-14 23:25:15
Arknights,best. sisanya cara pengiklanan global kek sampah,5,2025-10-14 22:45:01
Arknights,Ibab,5,2025-10-14 22:15:49
Arknights,Kasih akun Aaquila lemuen dan exusiai alter plish,5,2025-10-14 22:09:44
Arknights,Gamenya bagus,5,2025-10-14 20:20:22
Arknights,"bagus, banyak stage/level menarik, karakter juga banyak.",5,2025-10-14 19:53:39
Arknights,"menarik, unik, karakter bagus",5,2025-10-14 19:30:56
Arknights,menguras kewarasan dan mental sampai ketitik tertinggi,5,2025-10-14 19:26:39
Arknights,dusk wangy wangy😍❤ buat yg komen gim susah lah kan memang gim putar otak gk perlu operator khusus kok yg penting komposisi tim kalo maen di event ya kadang memang mesti pake operator sesuai event kalo gk mau skip aja event yg lain banyak kok yg gk perlu operator tertentu gk maksa semua event clear juga,5,2025-10-14 18:38:34
Arknights,"game anying, kemarin september suruh update 1,6 gb. sekarang oktober masih awal suruh update lagi 1,6 gb.",2,2025-10-14 18:25:11
Arknights,"saya harap pada update mendatang, penambahan jumlah sanity tiap naik level itu bertambah 3/5 dan setiap player mendapatkan penambahan tersebut sehingga adil untuk player lama dan juga newbie guna untuk mengembangkan beberapa karakter ingame di waktu yang cepat. menurut saya untuk mengembangkan satu karakter saja tidak cukup dalam 2-3 hari sedangkan saya juga membutuhkan karakter lain untuk dikembangkan dan terkadang semua proses menjadi lambat dikarenakan jumlah sanity yang tidak memadai.",5,2025-10-14 18:22:27
Arknights,bilangin ke hypergryph dan yostar makasih udah buat game seseru ini,5,2025-10-14 18:13:34
Arknights,ramah pemula,5,2025-10-14 10:18:12
Arknights,"sangat memuaskan, udah lima tahun nggak bisa berhenti",5,2025-10-12 13:38:24
Arknights,game bagus sih udah,5,2025-10-10 19:35:12
Arknights,Amiya cantik banget,5,2025-10-10 15:35:10
Arknights,mana gacha history nya yostar .... dari banner Lappland alter sampai sekarang belum di update...,5,2025-10-08 15:20:50
Arknights,"Terima kasih yostar akun gw kembali, ga di sangka tindakannya sangat cepat 💪💪kalian hebat. saya sangat bahagia 💯💯 bintang ⭐6 untukmu , nice☺☺",5,2025-10-07 11:31:21
Arknights,akun lama saya ilang ga jd comeback dah wkwkwk kocak,1,2025-10-04 11:11:03
Arknights,"Gamenya sudah bagus banget kok, tapi sepertinya akan lebih bagus jika di tambahkan bahasa Indonesia. mengingat ini berbasis novel",5,2025-09-29 22:02:02
Arknights,"Dari segi gameplay, cerita, visual dan pelayanan, semuanya sudah bagus. Dan bakal lebih bagus lagi kalo BGM di stage tertentu ( baik event DLL ) bisa di jadikan musik default lewat reception room, terutama BGM M8-8 ( Lulabye ). Atau mungkin, untuk membeli skin operator tertentu ( terutama skin Live 2D ) di shop outfit, jangan di permudah. Lebih baik di kasih misi tertentu untuk membelinya agar setiap skin mempunyai sensasi dan kenangannya tersendiri",5,2025-09-27 22:59:55
Arknights,game nya sangat bagus. saya tidak sabar game ini bisa dapat bahasa Indonesia dan bahasa asia lain nya,5,2025-09-26 22:07:01
Arknights,"Thank, Chapter 15 story nya pas dan ngejawab banyak pertanyaan dari chapter-chapter sebelumnya",5,2025-09-25 22:50:13
Arknights,"Game free to play paling bagus yang pernah aku mainkan. Dari awal rilis sampai sekarang aku nggak pernah top up hitungnya dan masih bisa punya (hampir) semua karakter yang ada termasuk yang ""limited."" Dari segala aspek game ini juga sangat kreatif. Yang awalnya genre tower defense bisa kerasa alur cerita sampai mekanik event-event tertentu walau menggunakan map yang ukurannya tidak jauh berbeda. Segala mekanik yang ada di tiap event juga cukup menarik, mulai dari ""seaborn"" sampai ""Yan enemies.""",1,2025-09-25 22:41:12
Arknights,Terbaik sih,5,2025-09-22 21:06:21
Arknights,Rilis segera versi Windowsnya,1,2025-09-20 00:18:25
Arknights,tolong sediakan translate bahasa Indonesia,4,2025-09-19 16:59:58
Arknights,"bagi kalian yang mau download dipikir dulu woi NI GAME download fulldataNYA 10GB Anj kouta gw cok 😢TERUS MALAH kehapus sendiri anj,Bagi yang pake hp ram 3/4 atau pake data jangan download Atau kalian akan menyesal,(gw sumpahin developer kalo lu mau download sesuatu lu nunggu sampe 1 tahun)",1,2025-09-19 11:44:45
Arknights,Cerita utama dan musik game Arknights hampir semuanya bagus 🔥,1,2025-09-18 18:08:40
Arknights,"makasih yostar,gamenya baik",5,2025-09-17 19:52:30
Arknights,di karenakan size game yang sudah besar tidak sperti dulu lagi & update file mandatory sudah tidak bisa main game arknight 😭 ini game bagus tapi untuk hp ram 2gb masih belum nyaman,1,2025-09-17 18:03:55
Arknights,mantap kali sekali update 12gb dan jadi total size 20gb langsung penyimpanan habis 🤣padahal masih ada bulanan sayang banget ga bisa buka lagi,4,2025-09-14 16:34:51
Arknights,tolong agar pendownloadtan data gamenya bisa di latar belakang agar kami tidak bosan menunggu download data nya apalagi dengan kecepatan internet seadanya,1,2025-09-11 09:09:52
Arknights,Tidak penyimpanan saya penuh,5,2025-09-10 04:46:02
Arknights,"Bisa tolong kedepan nya tambah kan fitur skip Battle/pertempuran, karena akan sangat membantu dalam farm Item karakter, Kartu EXP,dll,selebih nya nih game overall sangat bagus untuk dimain kan✨",5,2025-09-08 20:05:10
Arknights,"game tolol, gara2 disuruh login yostar tolol akun gw yang di Google jadi ilang, dah males lah gw main ini lagi",4,2025-09-08 19:07:04
Arknights,"peak game, hypergryph kasih cerita gaada lawan.",5,2025-09-08 09:29:16
Arknights,"lah, udah +20GB aja ini game",2,2025-09-08 08:10:18
Arknights,akun udah main lama tapi gara2 update baru akun ilang pas mau main login akun twiter udah gak bisa dipakek login,1,2025-09-07 23:23:51
Arknights,"Saya login akun utama malah gk bisa, ketimpa dengan akun YoStar baru ini, jadi benar2 gak bisa login pake akun google play. DIPAKSA LOGIN PAKE AKUN YOSTAR, mau login pake google play pasti harus disuruh bind ke akun YoStar dan parahnya bukannya akun yg udah ada ke bind ke akun YoStar malah ditimpa pake akun baru, jadi benar2 akun lama tuh hilang. Parah sih udah nyoba guide recovery account tapi tetep gak ada kabar, intinya kecewa aja si padahal mau comeback.",1,2025-09-05 17:40:53
Arknights,aku suka.,5,2025-09-04 13:36:32
Arknights,"Game Nya Bagus Banget, Walaupun Untuk pemula sedikit kesulitan akan farming material nya dan Chip buat upgrade ke elite2 nya,jadi sabar-sabar yaa untuk player Newbie buat main nya nanti kalo sudah kebiasa Betah kok Main Arknight nya.Namun Ada Satuhal Yang sampai sekarang Saya Tunggu,Yaitu Playable Talulah kapan?😭😭 Tolong Playable kan Talulahh...",5,2025-09-03 20:09:14
Arknights,"maaf dulu sempet emosi,, tapi ini game terbaik bagi gua jir lah",5,2025-09-02 13:00:01
Arknights,gak akan ku uninstall sampe HG sendiri yang berkata EOS😌.,5,2025-09-01 19:04:14
Arknights,"tidak masuk akal sialan, itu sudah jauh melampaui size asli game itu sendiri, ada apa sih, udh mau update setiap kli sampe 80% pasti selalu gagal update, alasannya jaringan padahal sangat jelas jaringan normal bahkan bisa dibilang kencang, penyimpanan juga masih kosong dan masih bisa jika ingin mendownload data update.saya kecewa, saya sudah bermain selama 4 tahun, tetapi ini seperti penolakan terhadap saya, akun saya hilang sia-sia karna update tidak jelas.",1,2025-09-01 06:53:34
Arknights,"download gamenya karna, bentar lagi mau collab sama eve mujica",5,2025-09-01 03:40:34
Arknights,"menurut gw, game ini benar-benar spesial sih buat gw, baik dari gameplay, lore, dan desain karakter yang semuanya gw suka. tapi sayangnya gw harus berhenti main karena masalah penyimpanan, dan jujur kalau gw udah punya device yang mencukupi, game pertama yang gw instal itu adalah Arknights. ""Thank you so much for being the best game I've ever play""",5,2025-08-31 07:12:42
Arknights,"gk tau ah gimana jelasin nya, pokoknya gw suka banget ama arknight",5,2025-08-31 02:52:37
Arknights,"Sejauh ini Arknights adalah game online paling lama yang aku mainin sampai sekarang. Walaupun game ini selalu menguras banyak kuota saat Mandory Update, tapi aku tetap suka semuanya. Sedikit saran dariku untuk developer Arknights, mohon kasih Ifrit skin L2D😭😭😭. Kasihan Ifritku skinnya cuman ada satu😭😭😭😭😭😭😭😭😭😭😭😭",5,2025-08-30 15:07:58
Arknights,"untuk yg kehilangan akun sih itu salah sendiri,, padahal yostar udah ngingetin (sering anying) untuk bind ke beberapa akun sosmed lain sebelum update ,juga udah rekomendasi bikin akun yostar untuk mencegah kehilangan akun,, yg mengabaikan ini lolot banget sumpah 🗿",5,2025-08-30 11:07:36
Arknights,"ya tingkatkan lagi, klo bisa ya adain fitur sweep biar lebih menghemat waktu buat para pekerja, klo ada fitur sweep ya chance materialnya di ubah lagi supaya ga bangkrut developer nya, dan jangan lupa perbanyak bansos",3,2025-08-29 21:06:03
Arknights,"terlalu sering update besar dan itu kita harus nunggu di homescreen, akan lebih bagus jika download nya bisa di in game nya",3,2025-08-29 20:55:55
Arknights,"W developer, nyesel baru bermain game ini🙏",5,2025-08-29 17:46:18
Arknights,yudimn di,5,2025-08-29 09:45:23
Arknights,updatenya besar sekali !!!,2,2025-08-29 08:25:03
Arknights,"Nice Game Yostar,gua paling suka banget sama arknights diantara semua game gacha bagus diluar sana entah mengapa cuman arknights yang bisa bikin gua betah main ini game.Cocok buat pemula?50/50 grinding para awal game cukup memakan waktu apalagi kalau kalian player yang gak sabaran gak gua terlalu rekomendasi kan,Bansos?Sangat dermawan selain R1999 Arknights dari segi desain gua suka banget sih parah,pertahankan ya arknights jangan terlalu banyak fan service untuk kedepannya 🫶🫰",5,2025-08-28 21:37:00
Arknights,peak game,5,2025-08-28 21:11:12
Arknights,"Perfect game! F2P Friendly! salah satu game yg semakin lama lu main semakin seru,tapi kalo awal² gak paham main gampang BurnOut(Bosen) antara bosen sama Operator itu² aja atau Stage yg susah. Kalo soal Operator ya kalian nabung Orundum buat gacha,di sini Gacha nya friendly (standar/Event banner/limited,kalo gak dpt lu nya doang yg gak hoki:3 ) dan kalo soal stage yg susah males mikir bisa di cari YT banyak sepuh ngasih Strategi Low Op jadi gampang aja di Ikutin~",5,2025-08-28 19:46:54
Arknights,masih sama. untuk pemain awal. biasanya agak sedikit kerepotan karena Reward masih belum melimpah. dan terkadang Setiap stage butuh beberapa operator yang lebih mumpuni sementara operator yang dimiliki masih kurang (sebenarnya skill issue). sekarang saya sering menemukan kendala dalam koneksi. terkadang selalu kembali ke lobby utama.,4,2025-08-28 19:38:45
Arknights,Game menarik,5,2025-08-28 18:48:45
Arknights,"Sudah 2-3 tahun saya main game ini, lupa memberikan rating... 😆😅",5,2025-08-28 18:21:54
Arknights,"Ukuran internal android emangnya harus berapa ya developer, hpku internalnya nggak kuat tapi ramnya kuat www",1,2025-08-27 19:20:56
Arknights,akun saya yang lama ko balik ke 0 😊😓inh gimnaa cobaa,1,2025-08-24 11:25:26
Arknights,"Pelayanan CS di game ini luar biasa, akun milik ku yang sudah end game tahun lalu bisa dikembalikan lagi, walau butuh waktu agak lama, tapi aku berterima kasih sudah dibantu, terimakasih yostar:)",5,2025-08-22 13:01:54
Arknights,"kurangnya 1 yaitu tambahin fitur download data di background/ latar belakang, udahlah downloadnya 7gb ga bisa ngapa-ngapain lagi",4,2025-08-22 09:35:22
Arknights,"hallo... saya cuman mau bertanya dan berharap bisa di jawab oleh developer sekalian, kenapa di bagian Indonesia selalu telat 1 hari updatenya? game nya bagus tapi kalau lebih bagus kalau update nya bersamaan dengan yang lain, seperti game lain",5,2025-08-14 07:57:09
Arknights,Gila akun gw 6 tahun ilang begitu aja,1,2025-08-10 02:18:29
Arknights,"for newbie like me, it's bit confused at some place. untung saja ada kenalan yang udah Sepuh jadi bisa tanya ke dia. kalau tidak, bakal lama ketidaktahuan ini. kuncinya sabar aja kalau mau naikin karakter yang diinginkan, kesimpulan ku.",4,2025-08-09 03:08:11
Arknights,game yang sangat seru. aku cinta arknights.❤️❤️❤️🥰🥰🥰,5,2025-08-08 06:22:57
Arknights,game yang seru cocok untuk orang yang suka tipe game strategi dan game nya lumayan susah dan aku suka alur story nya dan grafiknya,5,2025-08-07 17:04:33
Arknights,loginnya perasaan ada google dah kok sekarang makin sulit atau harus make akun yostar😐,1,2025-08-07 10:15:37
Arknights,Akun Lama saya bisa hilang pdahal sudah dikaitkan,3,2025-08-07 04:12:52
Arknights,"dah lah males skian lama pen comeback malah akun lama gw ilang dah lh, eh ga jadi min akunnya udah balik kok hehe",5,2025-08-04 18:30:35
Arknights,Seru + ada Mountain kesukaanku 😋,5,2025-08-04 10:27:19
Arknights,game yang luar biasa dan penuh strategi yang bagus aku suka banget,5,2025-08-02 15:50:02
Arknights,"saran aja nih, kalo bisa waktu download yang di dalem aplikasi bisa lanjut download sambil aplikasi nya tertutup, soalnya waktu nungguin download tuh lama dan bikin bosen",5,2025-07-30 19:01:48
Arknights,"Gamenya bagus cmn karna game ini ganti engine menyebabkan permainan menjadi lag,patah-patah bahkan force close. mohon pihak devolper atasi masalah ini segera, masalaah ini sangat menggangu kenyamanan bermain. padahal memori saya masih banyak tapi gamenya keluar sendiri.",2,2025-07-29 17:49:34
Arknights,"tolong optimasi suhu di perhatikan lagi. suhu perangkat terlampau panas saat bermain. ini game masih termasuk ringan tapi entah kenapa bikin panas hp, melebihi game berat dengan rendering 3D dan setting grafis maksimum.",3,2025-07-27 05:20:28
Arknights,Padahal ini game terampas yg pernah gw mainin soal free gacha.taoi ntah kenapa sampe sekarang tetap gw mainkan,3,2025-07-27 00:46:20
Arknights,sehat² gim baik,5,2025-07-26 22:38:32
Arknights,"walaupun bansos nya lumayan tapi stage nya susah bet,lebih susah dari pada watcher of realm",1,2025-07-26 16:26:32
Arknights,"saya ubah rating saya yg sebelumnya, karena akun lama saya sudah kembali, terimakasih untuk CS yostar karena sudah membantu saya untuk menemukan akun lama saya, dan untuk kalian yang kehilangan akun lama kalian, jangan ragu untuk meminta bantuan CS yostar, sekali lagi terimakasih untuk CS yostar karena sudah membantu 🙏🙏",5,2025-07-26 15:43:33
Arknights,"gabisa login pake wifi, kenapa ya?",2,2025-07-25 17:39:31
Arknights,hebat,5,2025-07-25 17:20:17
Arknights,ku kasih bintang 6 🌠 untuk respon masalah akun. cepet banget cuy sehari kembali akun ku alhamdulillah,5,2025-07-25 14:16:14
Arknights,Game bagus tapi ada kesulitan Mendapatkan Material Tingkat Tinggi:Banyak pemain merasa bahwa tingkat perolehan (drop rate) material yang dibutuhkan untuk meningkatkan Operator (karakter) ke level yang lebih tinggi sangat rendah. Hal ini membuat proses *grinding* (mengulang misi untuk mendapatkan material) menjadi terasa berat dan memakan waktu. Keterbatasan Fitur Pengumpulan Sumber daya,3,2025-07-25 13:33:40
Arknights,"anjir akunku ilang, pdhl udh ku rawat itu akun, dhlh uninstall aj",1,2025-07-23 23:31:08
Arknights,"untuk player old akun, pilih menu migrasi biar bisa make akun yang lama",5,2025-07-23 07:56:36
Arknights,"Kalau kamu suka game strategi, cerita yang dalam dan nggak menye-menye, plus visual serta audio yang memanjakan mata dan telinga, Arknights wajib banget kamu coba. Ini game yang bikin nagih, bikin mikir, dan bikin kamu peduli sama karakternya. Dijamin beda dari game-game mobile kebanyakan!",5,2025-07-19 21:46:56
Arknights,game bagus tpi tidak dengan fandomnya 🤢,1,2025-07-19 17:26:15
Arknights,game jelek aku gacha 170 pull gak dapat char limit di spam char standar,1,2025-07-18 21:07:55
Arknights,"Terima kasih game baik, atas bansos dan update yang terus menerus diberikan",5,2025-07-18 19:05:45
Arknights,udh diingetin buat ngaitin akunnya dari jauh-jauh hari masih batu giliran ilang nyalahin gamenya tolol,5,2025-07-17 20:03:12
Arknights,ada yang tau cara ubah ke bahasa indonesia ngak?..saya kesulitan memahami permainan dan alur cerita nya karna tidak bisa bahasa inggris,5,2025-07-17 17:00:33
Arknights,"sorry hypergriph, setelah bertahun tahun saya bermain ternyata saya salah memberi kesimpulan rating, semoga game ini menjadi yg terbaik di masa mendatang 🙏",4,2025-07-17 16:39:36
Arknights,udah cape cape 3 tahun main akun gue malah ilang j,1,2025-07-14 23:57:28
Arknights,tolong kasih kecepatan waktu 3X,5,2025-07-14 18:42:59
Arknights,"akun Facebook saya dikemanakan ya kok tidak bisa login,saya sudah lama bermain dan berhenti sejenak akhir-akhir ini tapi pas saya mau main lagi malah tidak bisa login",3,2025-07-12 22:28:34
Arknights,"tolong dioptimalkan lagi untuk versi pc, kadang dibuka full hitam cuman ada tulisan start dan icon icon bantuan disamping kanan. Apakah saya (gatau yang lain) harus download/install ulang terus setiap kali bermain? Edit: terimakasih pengembang arkhnight, sekarang tidak ada lagi bug tiba-tiba layar hitam saat membuka game, saya harap akan selalu dikembangkan dan diperbaiki game arkhnight di PC. Salam hangat untuk HG tercinta ^^",5,2025-07-12 19:54:12
Arknights,module Alpha Rosmontis bermasalah tidak dapat mengaktifkan pasif nya tidak mengespawn taktical equipment,1,2025-07-07 14:28:32
Arknights,"Mau mencoba kembali game ini,tapi akunku hilang ,tidak akan main game ini lagi thx.",1,2025-07-05 17:26:58
Arknights,"ada event warp seluruh character event kembali dalam satu warp gacha. Dan saya 50 kali gacha di warp itu tidak mendapatkan character bintang 6. Saya kecewa, dan saya akan pensiun juga sekarang karna gamenya yang membosankan dan men-stresskan otak. Waktu bermain ini juga cukup lama dan hasil gachanya selalu ampas. Terimakasih buang2 waktunya. Saya harap tidak mau bermain ini seperti gacha terus hingga kecanduan sperti judi online.",1,2025-07-04 20:04:16
Arknights,gamenya lumayan bagus gak susah banget dan minusnya gak ada bahasa indonesianya.,4,2025-07-02 10:38:30
Arknights,tolong tambahkan bahasa indonesia nya plis buat baca story sumpah gw baca story arknight males bed jadi nya gw skip skip terus tolong tambahakan bahasa indonesia,4,2025-07-02 08:49:55
Arknights,dan pada akhirnya akun utamaku hilang,1,2025-07-01 22:47:56
Arknights,"beautiful, amazing, ini yg papa cari selama ini.",5,2025-06-29 08:27:35
Arknights,gamenya bikin pusing tapi keren 😎👍,5,2025-06-27 19:21:46
Arknights,"Bagus, terimakasih.",5,2025-06-27 03:57:55
Arknights,"sebuah game underreted yang masterpiece. Secara story bener bener peak, gak cuman soal fantasi tapi juga konflik politik, keluarga, hingga mahluk mahluk di luar nalar, secara gameplay bener bener keren klo yang suka berpikir gak ada yang namanya char meta atau broken disini semuanya balance. Art style hingga musiknya pun bener bener enak di lihat atau di denger gak ada fan service berlebihan apa lagi drama fandom atau komunitas, bansos pun gak pernah pelit, bener bener game masterpiece✋️😐🤚",5,2025-06-26 14:36:17
Arknights,Berikan aku talulah playable dan akan kuberi rating 6 bintang,5,2025-06-25 18:34:54
Arknights,Game bagus,5,2025-06-23 22:50:52
Arknights,"Gamenya sangat bagus di sarankan untuk melihat Guide Supaya gak bingung dan salah langkah pas main,But plis Tolong tingkatin rewardnya orundum dari daily",5,2025-06-22 22:30:20
Arknights,"saya tida bisa login ke akun lama, dan harus mengulang dari awal, padahal dulu saya menggunakan akun google biasa",1,2025-06-22 11:32:21
Arknights,mengapa pengisian wanita sangat lama? tolong dipercepat,1,2025-06-21 06:30:01
Arknights,pdhl mau main lagi Tpi akun gw malah hilang pdhl udh login di akun yostar,1,2025-06-19 11:25:58
Arknights,kenapa main story gak ada VA nya bangke,3,2025-06-18 16:43:44
Arknights,tolong adakan bahasa Indonesia saya tidak bisa menikmati keseluruhan story nya pliss,4,2025-06-18 12:50:09
Arknights,kenapa setiap update content baru download nya sampai 2GB padahal keterangan ukuran content baru nya cuma sekitar 400MB,5,2025-06-13 09:12:31
Arknights,"Niat kembali main, tapi kecewa gara-gara akun lama hilang. Padahal udah main dari versi awal :(",1,2025-06-12 18:03:45
Arknights,"error code 0 mantap, dah uninstall ni game, rusak banget",4,2025-06-09 16:51:51
